------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 2248, 'username': 'BHAVESH\\ahire', 'name': 'OmenCommandCenterBackground.exe', 'vms': 235.69140625}
{'pid': 2280, 'username': 'BHAVESH\\ahire', 'name': 'SDXHelper.exe', 'vms': 14.484375}
{'pid': 2324, 'username': 'BHAVESH\\ahire', 'name': 'svchost.exe', 'vms': 10.7109375}
{'pid': 2452, 'username': None, 'name': 'svchost.exe', 'vms': 4.09765625}
{'pid': 2460, 'username': None, 'name': 'svchost.exe', 'vms': 7.41796875}
{'pid': 2468, 'username': None, 'name': 'svchost.exe', 'vms': 3.25}
{'pid': 2476, 'username': None, 'name': 'svchost.exe', 'vms': 2.34375}
{'pid': 2484, 'username': None, 'name': 'svchost.exe', 'vms': 3.5234375}
{'pid': 2492, 'username': None, 'name': 'svchost.exe', 'vms': 2.83984375}
{'pid': 2500, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 165.65625}
{'pid': 2508, 'username': 'BHAVESH\\ahire', 'name': 'conhost.exe', 'vms': 1.70703125}
{'pid': 2600, 'username': 'BHAVESH\\ahire', 'name': 'svchost.exe', 'vms': 3.16015625}
{'pid': 2668, 'username': None, 'name': 'WUDFHost.exe', 'vms': 4.33203125}
{'pid': 2676, 'username': None, 'name': 'svchost.exe', 'vms': 3.859375}
{'pid': 2688, 'username': 'BHAVESH\\ahire', 'name': 'AdobeCollabSync.exe', 'vms': 8.0078125}
{'pid': 2692, 'username': None, 'name': 'svchost.exe', 'vms': 6.59375}
{'pid': 2732, 'username': None, 'name': 'svchost.exe', 'vms': 6.52734375}
{'pid': 2752, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 46.625}
{'pid': 2776, 'username': None, 'name': 'IntelCpHDCPSvc.exe', 'vms': 1.484375}
{'pid': 2800, 'username': None, 'name': 'svchost.exe', 'vms': 2.83203125}
{'pid': 2820, 'username': None, 'name': 'svchost.exe', 'vms': 2.66015625}
{'pid': 2848, 'username': None, 'name': 'svchost.exe', 'vms': 1.546875}
{'pid': 2864, 'username': None, 'name': 'svchost.exe', 'vms': 2.328125}
{'pid': 2868, 'username': None, 'name': 'svchost.exe', 'vms': 2.546875}
{'pid': 2900, 'username': None, 'name': 'svchost.exe', 'vms': 5.65234375}
{'pid': 2924, 'username': 'BHAVESH\\ahire', 'name': 'msedge.exe', 'vms': 8.58203125}
{'pid': 2936, 'username': None, 'name': 'svchost.exe', 'vms': 1.6015625}
{'pid': 3068, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 2.19140625}
{'pid': 3200, 'username': None, 'name': 'svchost.exe', 'vms': 3.4140625}
{'pid': 3288, 'username': None, 'name': 'svchost.exe', 'vms': 2.02734375}
{'pid': 3320, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 51.05078125}
{'pid': 3336, 'username': 'BHAVESH\\ahire', 'name': 'browserhost.exe', 'vms': 6.640625}
{'pid': 3364, 'username': None, 'name': 'svchost.exe', 'vms': 2.66015625}
{'pid': 3372, 'username': 'BHAVESH\\ahire', 'name': 'svchost.exe', 'vms': 6.34375}
{'pid': 3480, 'username': None, 'name': 'svchost.exe', 'vms': 2.984375}
{'pid': 3588, 'username': None, 'name': 'svchost.exe', 'vms': 2.3515625}
{'pid': 3680, 'username': None, 'name': 'svchost.exe', 'vms': 2.37890625}
{'pid': 3700, 'username': None, 'name': 'svchost.exe', 'vms': 16.84765625}
{'pid': 3720, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 507.1875}
{'pid': 3744, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 39.41015625}
{'pid': 3764, 'username': None, 'name': 'svchost.exe', 'vms': 3.80859375}
{'pid': 3824, 'username': None, 'name': 'svchost.exe', 'vms': 1.46484375}
{'pid': 3836, 'username': None, 'name': 'svchost.exe', 'vms': 3.37890625}
{'pid': 3844, 'username': None, 'name': 'svchost.exe', 'vms': 2.0625}
{'pid': 3888, 'username': None, 'name': 'dasHost.exe', 'vms': 4.8359375}
{'pid': 3940, 'username': None, 'name': 'svchost.exe', 'vms': 2.24609375}
{'pid': 4048, 'username': None, 'name': 'MemCompression', 'vms': 2.2265625}
{'pid': 4060, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 12.4375}
{'pid': 4164, 'username': None, 'name': 'svchost.exe', 'vms': 3.5}
{'pid': 4188, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 2.2734375}
{'pid': 4196, 'username': None, 'name': 'svchost.exe', 'vms': 2.140625}
{'pid': 4216, 'username': None, 'name': 'TouchpointAnalyticsClientService.exe', 'vms': 83.98828125}
{'pid': 4260, 'username': 'BHAVESH\\ahire', 'name': 'ShellExperienceHost.exe', 'vms': 41.88671875}
{'pid': 4264, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 135.44140625}
{'pid': 4276, 'username': None, 'name': 'NetworkCap.exe', 'vms': 3.703125}
{'pid': 4284, 'username': None, 'name': 'AppHelperCap.exe', 'vms': 8.16015625}
{'pid': 4288, 'username': None, 'name': 'SysInfoCap.exe', 'vms': 12.1171875}
{'pid': 4300, 'username': None, 'name': 'DiagsCap.exe', 'vms': 29.1171875}
{'pid': 4516, 'username': None, 'name': 'svchost.exe', 'vms': 32.46484375}
{'pid': 4628, 'username': None, 'name': 'svchost.exe', 'vms': 5.3515625}
{'pid': 4676, 'username': 'BHAVESH\\ahire', 'name': 'msedge.exe', 'vms': 54.265625}
{'pid': 4800, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 270.6875}
{'pid': 4816, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 2.5546875}
{'pid': 4824, 'username': None, 'name': 'svchost.exe', 'vms': 16.859375}
{'pid': 4940, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 8.69140625}
{'pid': 4952, 'username': None, 'name': 'svchost.exe', 'vms': 2.3671875}
{'pid': 5068, 'username': None, 'name': 'svchost.exe', 'vms': 1.58203125}
{'pid': 5228, 'username': None, 'name': 'svchost.exe', 'vms': 2.421875}
{'pid': 5296, 'username': None, 'name': 'svchost.exe', 'vms': 8.70703125}
{'pid': 5324, 'username': None, 'name': 'svchost.exe', 'vms': 3.828125}
{'pid': 5352, 'username': None, 'name': 'spoolsv.exe', 'vms': 5.7890625}
{'pid': 5388, 'username': None, 'name': 'svchost.exe', 'vms': 15.375}
{'pid': 5452, 'username': None, 'name': 'svchost.exe', 'vms': 1.8203125}
{'pid': 5532, 'username': None, 'name': 'svchost.exe', 'vms': 6.2734375}
{'pid': 5632, 'username': 'BHAVESH\\ahire', 'name': 'cmd.exe', 'vms': 1.89453125}
{'pid': 5636, 'username': None, 'name': 'ipf_uf.exe', 'vms': 2.0546875}
{'pid': 5644, 'username': None, 'name': 'armsvc.exe', 'vms': 1.76171875}
{'pid': 5652, 'username': None, 'name': 'svchost.exe', 'vms': 2.5546875}
{'pid': 5660, 'username': None, 'name': 'svchost.exe', 'vms': 27.6875}
{'pid': 5668, 'username': None, 'name': 'svchost.exe', 'vms': 3.0234375}
{'pid': 5680, 'username': None, 'name': 'IntelAudioService.exe', 'vms': 38.65234375}
{'pid': 5688, 'username': None, 'name': 'OneApp.IGCC.WinService.exe', 'vms': 33.1484375}
{'pid': 5696, 'username': None, 'name': 'ETDService.exe', 'vms': 1.5078125}
{'pid': 5704, 'username': None, 'name': 'HPCommRecovery.exe', 'vms': 23.22265625}
{'pid': 5712, 'username': None, 'name': 'jhi_service.exe', 'vms': 1.38671875}
{'pid': 5720, 'username': None, 'name': 'HPPrintScanDoctorService.exe', 'vms': 1.921875}
{'pid': 5732, 'username': None, 'name': 'ipfsvc.exe', 'vms': 1.57421875}
{'pid': 5752, 'username': None, 'name': 'servicehost.exe', 'vms': 23.60546875}
{'pid': 5764, 'username': None, 'name': 'svchost.exe', 'vms': 29.78125}
{'pid': 5800, 'username': None, 'name': 'OfficeClickToRun.exe', 'vms': 31.50390625}
{'pid': 5808, 'username': None, 'name': 'mc-fw-host.exe', 'vms': 255.40625}
{'pid': 5828, 'username': None, 'name': 'MpDefenderCoreService.exe', 'vms': 12.390625}
{'pid': 5848, 'username': None, 'name': 'RtkAudUService64.exe', 'vms': 29.6953125}
{'pid': 5856, 'username': None, 'name': 'RtkBtManServ.exe', 'vms': 2.1796875}
{'pid': 5924, 'username': None, 'name': 'SECOMN64.exe', 'vms': 7.75}
{'pid': 5936, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 8.37890625}
{'pid': 5968, 'username': None, 'name': 'svchost.exe', 'vms': 1.34375}
{'pid': 5992, 'username': None, 'name': 'svchost.exe', 'vms': 1.6796875}
{'pid': 6108, 'username': None, 'name': 'mc-neo-host.exe', 'vms': 19.33984375}
{'pid': 6116, 'username': None, 'name': 'svchost.exe', 'vms': 12.6015625}
{'pid': 6140, 'username': None, 'name': 'MsMpEng.exe', 'vms': 247.875}
{'pid': 6188, 'username': 'BHAVESH\\ahire', 'name': 'python.exe', 'vms': 12.78125}
{'pid': 6200, 'username': None, 'name': 'svchost.exe', 'vms': 4.6953125}
{'pid': 6208, 'username': None, 'name': 'svchost.exe', 'vms': 1.73828125}
{'pid': 6216, 'username': None, 'name': 'WMIRegistrationService.exe', 'vms': 2.95703125}
{'pid': 6244, 'username': None, 'name': 'svchost.exe', 'vms': 2.4921875}
{'pid': 6280, 'username': None, 'name': 'XtuService.exe', 'vms': 59.94921875}
{'pid': 6804, 'username': 'BHAVESH\\ahire', 'name': 'ApplicationFrameHost.exe', 'vms': 53.9296875}
{'pid': 7256, 'username': None, 'name': 'svchost.exe', 'vms': 2.66015625}
{'pid': 7336, 'username': 'BHAVESH\\ahire', 'name': 'ms-teams.exe', 'vms': 70.734375}
{'pid': 7720, 'username': None, 'name': 'NgcIso.exe', 'vms': 1.2421875}
{'pid': 7732, 'username': None, 'name': 'svchost.exe', 'vms': 1.4765625}
{'pid': 7896, 'username': 'BHAVESH\\ahire', 'name': 'uihost.exe', 'vms': 18.83984375}
{'pid': 7928, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 2.984375}
{'pid': 7964, 'username': 'BHAVESH\\ahire', 'name': 'WindowsTerminal.exe', 'vms': 63.99609375}
{'pid': 8260, 'username': None, 'name': 'unsecapp.exe', 'vms': 1.765625}
{'pid': 8744, 'username': None, 'name': 'svchost.exe', 'vms': 1.7421875}
{'pid': 8840, 'username': 'BHAVESH\\ahire', 'name': 'Code.exe', 'vms': 14.28125}
{'pid': 8964, 'username': 'BHAVESH\\ahire', 'name': 'SecurityHealthSystray.exe', 'vms': 2.0078125}
{'pid': 9012, 'username': 'BHAVESH\\ahire', 'name': 'sihost.exe', 'vms': 8.609375}
{'pid': 9164, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 77.40234375}
{'pid': 9244, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 4.71484375}
{'pid': 9416, 'username': None, 'name': 'svchost.exe', 'vms': 30.4296875}
{'pid': 9472, 'username': None, 'name': 'svchost.exe', 'vms': 13.859375}
{'pid': 9540, 'username': 'BHAVESH\\ahire', 'name': 'svchost.exe', 'vms': 2.44921875}
{'pid': 9548, 'username': 'BHAVESH\\ahire', 'name': 'mc-fw-host.exe', 'vms': 10.39453125}
{'pid': 9740, 'username': None, 'name': 'AggregatorHost.exe', 'vms': 5.1328125}
{'pid': 9756, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 11.51953125}
{'pid': 9860, 'username': None, 'name': 'RtkAudUService64.exe', 'vms': 25.77734375}
{'pid': 9920, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 166.87109375}
{'pid': 9972, 'username': 'BHAVESH\\ahire', 'name': 'ipf_helper.exe', 'vms': 2.078125}
{'pid': 10140, 'username': 'BHAVESH\\ahire', 'name': 'ETDCtrl.exe', 'vms': 7.20703125}
{'pid': 10184, 'username': 'BHAVESH\\ahire', 'name': 'Code.exe', 'vms': 143.66796875}
{'pid': 10340, 'username': 'BHAVESH\\ahire', 'name': 'svchost.exe', 'vms': 2.140625}
{'pid': 10396, 'username': 'BHAVESH\\ahire', 'name': 'svchost.exe', 'vms': 7.9140625}
{'pid': 10472, 'username': 'BHAVESH\\ahire', 'name': 'taskhostw.exe', 'vms': 9.859375}
{'pid': 10484, 'username': 'BHAVESH\\ahire', 'name': 'OverlayHelper.exe', 'vms': 32.84375}
{'pid': 10528, 'username': 'BHAVESH\\ahire', 'name': 'SystemOptimizer.exe', 'vms': 41.59375}
{'pid': 10600, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 2.56640625}
{'pid': 10604, 'username': None, 'name': 'svchost.exe', 'vms': 4.35546875}
{'pid': 10648, 'username': None, 'name': 'svchost.exe', 'vms': 2.34375}
{'pid': 10756, 'username': 'BHAVESH\\ahire', 'name': 'OmenInstallMonitor.exe', 'vms': 31.140625}
{'pid': 11108, 'username': 'BHAVESH\\ahire', 'name': 'TextInputHost.exe', 'vms': 45.9921875}
{'pid': 11224, 'username': None, 'name': 'svchost.exe', 'vms': 6.11328125}
{'pid': 11284, 'username': 'BHAVESH\\ahire', 'name': 'explorer.exe', 'vms': 338.3046875}
{'pid': 11324, 'username': None, 'name': 'svchost.exe', 'vms': 7.05078125}
{'pid': 11432, 'username': 'BHAVESH\\ahire', 'name': 'ShellHost.exe', 'vms': 33.0859375}
{'pid': 11492, 'username': 'BHAVESH\\ahire', 'name': 'svchost.exe', 'vms': 1.82421875}
{'pid': 11576, 'username': None, 'name': 'svchost.exe', 'vms': 1.06640625}
{'pid': 11616, 'username': 'BHAVESH\\ahire', 'name': 'SECOCL64.exe', 'vms': 2.890625}
{'pid': 11648, 'username': 'BHAVESH\\ahire', 'name': 'conhost.exe', 'vms': 1.23046875}
{'pid': 11672, 'username': 'BHAVESH\\ahire', 'name': 'Code.exe', 'vms': 119.00390625}
{'pid': 11796, 'username': 'BHAVESH\\ahire', 'name': 'CrossDeviceResume.exe', 'vms': 35.55859375}
{'pid': 12004, 'username': None, 'name': 'svchost.exe', 'vms': 9.09375}
{'pid': 12072, 'username': 'BHAVESH\\ahire', 'name': 'conhost.exe', 'vms': 1.4765625}
{'pid': 12144, 'username': 'BHAVESH\\ahire', 'name': 'Code.exe', 'vms': 10.78515625}
{'pid': 12444, 'username': 'BHAVESH\\ahire', 'name': 'RtkAudUService64.exe', 'vms': 26.18359375}
{'pid': 12508, 'username': 'BHAVESH\\ahire', 'name': 'FileCoAuth.exe', 'vms': 6.56640625}
{'pid': 12540, 'username': 'BHAVESH\\ahire', 'name': 'UserOOBEBroker.exe', 'vms': 1.953125}
{'pid': 12556, 'username': 'BHAVESH\\ahire', 'name': 'CrossDeviceService.exe', 'vms': 26.78515625}
{'pid': 12560, 'username': 'BHAVESH\\ahire', 'name': 'svchost.exe', 'vms': 8.66796875}
{'pid': 12848, 'username': None, 'name': 'SearchIndexer.exe', 'vms': 34.53515625}
{'pid': 12884, 'username': 'BHAVESH\\ahire', 'name': 'Widgets.exe', 'vms': 9.6796875}
{'pid': 12964, 'username': None, 'name': 'svchost.exe', 'vms': 3.87109375}
{'pid': 13032, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 77.796875}
{'pid': 13056, 'username': 'BHAVESH\\ahire', 'name': 'msedge.exe', 'vms': 2.30078125}
{'pid': 13180, 'username': 'BHAVESH\\ahire', 'name': 'SearchHost.exe', 'vms': 65.73046875}
{'pid': 13204, 'username': 'BHAVESH\\ahire', 'name': 'StartMenuExperienceHost.exe', 'vms': 84.4453125}
{'pid': 13356, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 15.48046875}
{'pid': 13404, 'username': 'BHAVESH\\ahire', 'name': 'svchost.exe', 'vms': 3.6328125}
{'pid': 13420, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 9.22265625}
{'pid': 13456, 'username': 'BHAVESH\\ahire', 'name': 'ONENOTEM.EXE', 'vms': 3.1640625}
{'pid': 13508, 'username': 'BHAVESH\\ahire', 'name': 'jusched.exe', 'vms': 2.3203125}
{'pid': 13704, 'username': 'BHAVESH\\ahire', 'name': 'WidgetService.exe', 'vms': 4.7421875}
{'pid': 13792, 'username': 'BHAVESH\\ahire', 'name': 'Code.exe', 'vms': 123.0546875}
{'pid': 13816, 'username': 'BHAVESH\\ahire', 'name': 'msedge.exe', 'vms': 61.08984375}
{'pid': 13884, 'username': 'BHAVESH\\ahire', 'name': 'Code.exe', 'vms': 85.43359375}
{'pid': 13924, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 2.515625}
{'pid': 13948, 'username': 'BHAVESH\\ahire', 'name': 'AdobeCollabSync.exe', 'vms': 10.73828125}
{'pid': 13968, 'username': 'BHAVESH\\ahire', 'name': 'backgroundTaskHost.exe', 'vms': 14.26953125}
{'pid': 14160, 'username': None, 'name': 'svchost.exe', 'vms': 1.57421875}
{'pid': 14288, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 38.7578125}
{'pid': 14676, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 2.3046875}
{'pid': 14956, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 73.35546875}
{'pid': 14984, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 14.2109375}
{'pid': 15120, 'username': 'BHAVESH\\ahire', 'name': 'msedgewebview2.exe', 'vms': 8.44921875}
{'pid': 15308, 'username': 'BHAVESH\\ahire', 'name': 'ctfmon.exe', 'vms': 8.28515625}
{'pid': 15448, 'username': 'BHAVESH\\ahire', 'name': 'jucheck.exe', 'vms': 3.67578125}
{'pid': 15528, 'username': 'BHAVESH\\ahire', 'name': 'WhatsApp.exe', 'vms': 130.1015625}
{'pid': 15544, 'username': 'BHAVESH\\ahire', 'name': 'LockApp.exe', 'vms': 42.17578125}
{'pid': 15584, 'username': 'BHAVESH\\ahire', 'name': 'LightStudio-background.exe', 'vms': 165.7734375}
{'pid': 15640, 'username': 'BHAVESH\\ahire', 'name': 'mc-extn-browserhost.exe', 'vms': 5.19921875}
{'pid': 15756, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 407.015625}
{'pid': 16044, 'username': 'BHAVESH\\ahire', 'name': 'DesktopExtension.exe', 'vms': 24.1171875}
{'pid': 16092, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 6.80859375}
{'pid': 16208, 'username': None, 'name': 'svchost.exe', 'vms': 6.78125}
{'pid': 16268, 'username': 'BHAVESH\\ahire', 'name': 'powershell.exe', 'vms': 60.0546875}
{'pid': 16380, 'username': 'BHAVESH\\ahire', 'name': 'conhost.exe', 'vms': 1.46875}
{'pid': 16472, 'username': None, 'name': 'svchost.exe', 'vms': 4.796875}
{'pid': 16868, 'username': 'BHAVESH\\ahire', 'name': 'PhoneExperienceHost.exe', 'vms': 76.91015625}
{'pid': 17000, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 5.7578125}
{'pid': 17056, 'username': 'BHAVESH\\ahire', 'name': 'msedge.exe', 'vms': 17.50390625}
{'pid': 17076, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 2.89453125}
{'pid': 17136, 'username': None, 'name': 'svchost.exe', 'vms': 3.74609375}
{'pid': 17176, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 12.4375}
{'pid': 17256, 'username': 'BHAVESH\\ahire', 'name': 'CastSrv.exe', 'vms': 4.5}
{'pid': 17340, 'username': None, 'name': 'svchost.exe', 'vms': 2.90234375}
{'pid': 17568, 'username': None, 'name': 'SearchProtocolHost.exe', 'vms': 2.55859375}
{'pid': 17876, 'username': 'BHAVESH\\ahire', 'name': 'backgroundTaskHost.exe', 'vms': 4.90234375}
{'pid': 18068, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 250.015625}
{'pid': 18288, 'username': 'BHAVESH\\ahire', 'name': 'SystemSettings.exe', 'vms': 124.12109375}
{'pid': 18532, 'username': 'BHAVESH\\ahire', 'name': 'unsecapp.exe', 'vms': 1.83203125}
{'pid': 18752, 'username': None, 'name': 'SecurityHealthService.exe', 'vms': 7.859375}
{'pid': 18848, 'username': None, 'name': 'svchost.exe', 'vms': 3.60546875}
{'pid': 18984, 'username': None, 'name': 'FileSyncHelper.exe', 'vms': 5.640625}
{'pid': 19012, 'username': None, 'name': 'svchost.exe', 'vms': 9.5234375}
{'pid': 19040, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 2.3515625}
{'pid': 19256, 'username': 'BHAVESH\\ahire', 'name': 'OneDrive.exe', 'vms': 123.01171875}
{'pid': 19320, 'username': 'BHAVESH\\ahire', 'name': 'HPSystemEventUtilityBackground.exe', 'vms': 39.93359375}
{'pid': 19444, 'username': None, 'name': 'svchost.exe', 'vms': 3.3671875}
{'pid': 19452, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 66.421875}
{'pid': 19540, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 26.09765625}
{'pid': 19876, 'username': 'BHAVESH\\ahire', 'name': 'HPQuickDrop.exe', 'vms': 42.86328125}
{'pid': 19948, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 160.140625}
{'pid': 19964, 'username': 'BHAVESH\\ahire', 'name': 'Code.exe', 'vms': 83.97265625}
{'pid': 20040, 'username': 'BHAVESH\\ahire', 'name': 'Code.exe', 'vms': 110.8125}
{'pid': 20276, 'username': 'BHAVESH\\ahire', 'name': 'powershell.exe', 'vms': 53.8359375}
{'pid': 20288, 'username': 'BHAVESH\\ahire', 'name': 'OpenConsole.exe', 'vms': 2.49609375}
{'pid': 20452, 'username': 'BHAVESH\\ahire', 'name': 'Code.exe', 'vms': 371.0078125}
{'pid': 20752, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 27.67578125}
{'pid': 20880, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 12.9296875}
{'pid': 21536, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 18.6953125}
{'pid': 21680, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 239.359375}
{'pid': 21796, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 22.3671875}
{'pid': 21844, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 59.546875}
{'pid': 21972, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 2.23046875}
{'pid': 22216, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 7.78125}
{'pid': 22224, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 29.00390625}
{'pid': 23240, 'username': 'BHAVESH\\ahire', 'name': 'chrome.exe', 'vms': 25.0625}
{'pid': 23872, 'username': None, 'name': 'svchost.exe', 'vms': 1.33203125}
{'pid': 24140, 'username': 'BHAVESH\\ahire', 'name': 'conhost.exe', 'vms': 1.53125}
{'pid': 24428, 'username': 'BHAVESH\\ahire', 'name': 'HPSystemEventUtilityHost.exe', 'vms': 34.390625}
------------------------------------------------------------------------------------------
-----------------------------------------End of Automation script ---------------------------
-----------------------------------Thanks for using the automation script-----------------------------------------
